sigma,alpha,c,error
1.6800000000000002,-0.03438871006036232,1.5291288984797329,4.1136292426996525e-05
1.7000000000000002,-0.03270911250661378,1.5348611974965076,4.001723814374143e-05
1.7200000000000002,-0.03112127948454071,1.5407105295903856,3.884070552761298e-05
1.7400000000000002,-0.02960830379442419,1.5466009363761677,3.761379129803565e-05
1.7600000000000002,-0.028736602717970555,1.542566258755626,3.904475498604744e-05
1.78,-0.027375665473215315,1.548139424233179,3.7857776981242095e-05
1.8,-0.0260890622807215,1.553782757929887,3.663425028246088e-05
1.82,-0.02486472209405861,1.5593882041853517,3.5379541397248296e-05
1.84,-0.02368673741993589,1.5651894834557345,3.410183731566617e-05
1.86,-0.023071162444325777,1.5606539713708274,3.560751533329789e-05
1.88,-0.022023801251768258,1.566022918028671,3.43707430866466e-05
1.9,-0.02101145418700342,1.5716284250877772,3.311778858315849e-05
1.92,-0.02004813331054403,1.577275813861928,3.185686437673884e-05
1.94,-0.019117700401034318,1.5832306824292153,3.0593872543028305e-05
1.96,-0.018665522485471913,1.5784718969566984,3.2108581252628635e-05
1.98,-0.01788163999410511,1.5826649246466242,3.087882069421524e-05
2.0,-0.017085369211191925,1.5881055201464231,2.9651082216268046e-05
2.02,-0.016327071299132512,1.5935655028976192,2.8430427235082097e-05
2.04,-0.01560502613822891,1.5990360276683577,2.722132133507331e-05
2.06,-0.01526752577915454,1.5943578739661768,2.8696159203960908e-05
2.08,-0.014612596346972552,1.5994318951212447,2.751412961458531e-05
2.1,-0.013988174195708846,1.6044828973295209,2.6345870311224956e-05
